,essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,rater2_domain2,domain2_score,total_score
12253,20716,8, A long time ago when I was in third grade I had a friend @PERSON who's mom was in a bad mood. She never laughed and she never smiled. Every time I saw her I would smile at her and all she would do was frown and keep walking. At first I didn't know she was a grouch i just thought she didn't like me or something.When @PERSON told me his mom was a grouch I started to laugh and laugh. He asked me what was so funny i told him that i thought his mom didn't like me or something because every time I see his mom I would smile at her and all she will do is frown and walk away. That made my friend laugh we were cracking up so hard that we got in trouble in class.   The next day @PERSON and I were eating lunch at school when he says to me &lt;hey your pretty good at making people laugh&gt;. I said &lt;no I am not my jokesare horrible&gt;. He said &lt;@CAPS lets put them to the test go up to some one new to this school&gt;. I said @CAPS so we went around the whole school looking for a new student unfortunately we couldn't find one we heard the bell ring and we ran to our class. We sat in the back of the classroom its only @PERSON and I and anempty seat between us. We were excited because our teacher @PERSON was going to show us a movie. @PERSON got the front of the room andclass today I have an announcement we have a new student in our class say hello to @LOCATION. @ORGANIZATION walked through the door. @PERSON told @ORGANIZATION shecould sit in the back in between @PERSON and I. She sat down turned to the both of us and said hello. @PERSON gave me a look that said tell her the joke and @CAPS him a thumbs up. I turned to @LOCATION and said hi I'm @CAPS do you want to hear a joke. @ORGANIZATION said yeah sure. I started &lt;@CAPS knockshe said &lt;who's thereI said &lt;booshe said &lt;boo who?I said &lt;oh don't cry I am right here&gt;. At first she didn't laugh because she didn't get it but duringthe middle of the movie she said &lt;ohhhh I get itand she started to laugh. @PERSON turned to me and said &lt;I told you so&gt;.   @PERSON got this crazy idea that if I spent the night at his house that I could make his mom laugh or at least make her smile. I said &lt;@CAPS sounds like a plan&gt;. I asked mt mom if it was @CAPS if I could spend the night at @PERSON house she said &lt;yeah just make sure its @CAPS with his mom&gt;. @PERSON asked his mom she said it was @CAPS. When I got to @PERSON house the first thing we did was play video games. When it was dinner time we all sat down at the table to eat @PERSON and I were on one side and his parents on the other. When we started eating @PERSON told me to tell the joke to his parents i said @CAPS. So I said to them &lt;@CAPS @CAPS&gt;they replied &lt;who's thereI said &lt;boothey said &lt;boo who?I said &lt;oh don't cry I am right here&gt;. His parents started to laugh and laugh and they keptlaughing for like five minutes. @PERSON turned to me and yelled it worked his mom asked what worked. @PERSON explained everything to them. His mom told usthat her mom had recently died and that's why she was in a bad mood. After dinner we went to bed and fell asleep. The next morning when my mom came to pick me up she asked me how the sleep over went. I said it was fun I made people laugh. She said @CAPS but laughter isn't going to help you clean your roomall i could say was gosh darn it.             FIN,18,16,0.0,34,0.0,0.0,0.0,34.0
12254,20717,8," Softball has to be one of the single most greatest sports alive; playing softball in college has always been a goal of mine. I love the dirt that sticks to your face, the sweat dripping from your forehead, and the gallons and gallons of water you poor all over yourself to keep cool in the blistering @CAPS. Although I love softball I feel that the memories you acquire from the times you have with your teammates, are the things you remember the most through out your softball career. I have always had great memories through softball many laughs, tears, and frustrations so when I had the opportunity to play on a top notch team I looked forward to all the many more memories I would have.  Hood @CAPS @CAPS was my team name, I had played almost four years with this local team. Many of these girls were like sisters to me they had treated me amazingly through out my years playing with them. I felt like I had my set team, I was going to play with these girls all though high school and we would become even closer. As my fifth year now approached I was looking forward to it, but when my dad came up with the idea that maybe I play for a team not as locally, that idea was also very enticing. I now faced a big dilemma either stay with the team I knew so well and continue to play with them until high school ended; or play with a team I knew nothing about, play with girls that might not like me, girls that were so much better then me, and looked down upon me. As I looked at the pros and cons of both teams I decided no; I would stay with the team that I knew so well and I would stay comfortable at where I was at. At that point softball was just around the corner and I began to reanalyze everything. Did I really want to stay and be comfortable? Or maybe challenge myself to become a better player; maybe i could work hard enough, and have college scouts take a look at me and hopefully have me play for them later. I then decided I would take a chance and try for this team.  As my dad and I drove to the field where I would try out for this team, my stomach was in knots. I wanted this team to like me, I was playing all the possible ways in my head I could greet them so i didn't sound snobby or a grump. The time moved quickly and I wished it would slow; my heart felt like it was beating a million times per second. I was so nervous my mouth began to feel sticky and have an odd taste to it, soon after my mouth became bone dry no taste, no flavor, just a sticky mess. The car then was stationary my dad looked at me and just said ""ready or not here we come"". Nervous began to take over my body my arms were shaking uncontrollably and I was second guessing every move I made, I even had troubles removing my seat belt.  As I approached the field it felt like time was in slow motion, walking by I saw all the girls turn there heads to see what new fresh meat had arrived. My first thought was to run; that was it I didn't want to go, I was done I wanted home I was ready to start my year with the @CAPS, I just couldn't take it. Then as I walked onto the field they all grew a smile. Each and everyone of them told me their names, there favorite color, and a small fun fact about themselves. I found myself laughing through out my whole try out, there were no awkward moments and I enjoyed my time there. I couldn't wait to go back, I now had made new friends, friends I knew I would grow close with. My year with this team was amazing I have friendships with these girls that I never would have discovered if I hadn't gone. Those girls are like family, and the coaches even more so. Laughter played a very big role in the decision I made to play with this team, if I had just gone and tried out, and had I not had fun and laughed, I would have decided to play with the @CAPS. I have had great memories with the @CAPS, but also softball is all about going out discovering new friendships; therefore, enjoying the sport as well as the people.",21,26,46.0,46,0.0,0.0,0.0,46.0
12255,20718,8," Some people like making people laugh, I love it. I will do most anything to get a good laugh. I will make fun of my self, do insanely stupid things, and sometimes hurt myself (not in any serious way). When I was little I didn't really understand laughter. For some odd reason I could never tell the difference if people were laughing at something or laughing with it. I was kind of ""special"" in some areas as a kid (I still am today). Still at the tender age of five I loved making people laugh, and being special I would do even crazier things for a laugh. Mind you I was kind of a spaz, and a really big spaz. I was the most hyperactive five year old you will ever meet. For example one time I hit myself in the head with a hammer, another time I was dancing around in class with a pencil in my hand, stabbed myself in the head with it, and needed stitches. One of the craziest times though was a couple days before I had to take pictures and I wanted to go play outside, my mom knowing how ""special"" I was (I got it from her) wouldn't allow me to. The expert persuasive kid I was back then convinced her to let me go outside. Before I could even reach the street I fell head first on to the corner of the sidewalk leaving a huge mark and completely ruining the pictures. Although that might make some people laugh, this is a story about laughter not me being a spaz.  Now that you know that I love making people laugh, I'm ""special"", and that I'm a complete spaz I can get on with the story. Well I was in kindergarten and I loved school because I got to hang out with my friends and play with blocks, that might sound stupid but I was in kindergarten. The only thing I didn't like about kindergarten was bully's. Surprisingly I have never had a bully except kindergarten, but this was a bad bully. He would give me wedgies at story time and the whole deal (which was the best time to do so because the teacher could couldn't see). I still know the bully too, but he's no bully anymore, he's a goody two shoes now which I think is odd. Anyways, kindergarten was a very good year for me except one day (and every day I got a wedgies). That day is what this whole story is about, it's why I told you I love making people laugh, why I told you I'm ""special"", and a spaz, everything in the story circles around this one day, *dramatic pause* in kindergarten. It started out like any other day in kindergarten. I woke up, did my daily routine, hopped in the car, and headed to school. When I got to school I grabbed my daily binder and patted the education sign like a mall cop would pat the observe and report sign. I did all my work and colored (which was basically all my work). It came around break so we ran around the play ground and got are little snack. When we finished getting the last few drops out of our juice boxes we headed over to story time. We were all in the little circle (which was more like a deformed oval) listening to the story, right when I would get into the story and lose my guard I would receive an excruciatingly painful (for a five year old) wedgie. The story was almost finished and our five year old attention spans were wearing thin and we were getting all excited. The story finally finished and we were standing up, and this is where my memory starts to fade. I cracked a really funny joke and the whole kindergarten class erupted into laughter, me being a ""special"" spaz that can't tell if people are laughing at me or with me burst into tears. I remember balling my eyes out at the drinking fountain trying to hide my tears. One of the teachers tried to help me by telling me that they were laughing at my joke. It took me a couple minutes to stop crying but a little longer to realize the were not laughing at me.  To this day I still get reminded by classmates about that day, of course I can laugh about it now but that was in kindergarten, I'm in ninth grade now and for people to remember that is kind of crazy to me. It was a negative experience then, but it turned into a blessing in disguise. It made me grow into a better person, I can tell the difference of laughter and also be okay when people do laugh at me (doing dumb things to make people laugh at me is actually my forte). So remember, being ""special"" could sometimes be the best thing about you, what makes you who you are, what makes you great, what makes you grow, what makes people laugh.",15,20,40.0,40,0.0,0.0,0.0,40.0
12256,20719,8," ""LAUGHTER""  @CAPS I hang out with my friends, the one thing we do best is laugh sometimes for no reason. The thing we tend to laugh about is running into trash cans, laundry or maybe even about what we ate for dinner the @TIME before. @CAPS I am usual stressed out the one thing I love is to hangout with my friends. they usual are good listeners. overall. Though they take your mind off things. So with my friends you can count on having a great time no matter what the occasion is.    @CAPS I say trash can I really mean trash cans I remember this one time in the hall way at school my friend was hanging on to my back pack because she tends to loose me in the hall way a lot because I walk a lot faster then her, anyways the class bell had just rouge an all the student were heading to lunch we were. I was just getting ready to cross the hall way an she said don't do it, so I did an nobody stopped! so she kinda slide into a trash can that was hanging on the wall in the hall way, she @MONTH have knocked it off but I can't really say? I was still walking an the sound effects were so funny I laugh at it still.       My friend an I have a inside joke? we went out to lunch together. @CAPS we saw a laundry mate an I minds went crazy, we made up a funny joke an said that we should make our self's aprons with lots color and rhinestones, so that way if we wanted to get all of our laundry done at the same time. We would take off our clothes there an put on our so called aprons. An do our laundry like it was nothing. @CAPS our laundry was done we said that we could pick out a new outfit because all of r close would be clean. yes we are weird but that is what makes us laugh more then anything is being silly an making up story just like that one.  Now about the food its sort of like the laundry but I guess better? I remember @CAPS i came to school the next day i just started talking about what i had for dinner @TIME i think at that time my mom had asked us if we wanted chicken @PERSON an my sister as i screamed an said hell yeah? so dinner was ready an @CAPS we went to go site at the table we looked at it an it was not what we expected it to be? it was frozen out of a box an it looked like somebody had eaten the food than puked it back up? it was that great looking.    All of these thing that have named or talked about is how my life is almost everyday @CAPS there not drama i love my friend I don't think I could have asked for a better one because all we do is laugh an have fun an fun in to trash can locker an whatever else there is but the one thing that matter the most with my one friend is that @CAPS we get in to a fight we can not stay mad at each other well I now that I can't. So at the end of the day I ask her are we done being made at each other? an than we just look at each other an laugh because that about all we can do because the reason was so stupid there was really no need for it.that is what a friend is to me having fun not worrying about what is around us. but just to have fun an be silly. not anybody else but are self's an sometime @CAPS we have are really goofy days? we make up the story about our laundry. talking about my life with my friends is nothing better than to laugh because deep down inside you an your friend will look back an say wow those where the best day was @CAPS-would would get in trouble in class for talking way to much.    ",12,20,30.0,30,0.0,0.0,0.0,30.0
12257,20721,8,"Well ima tell a story about the time i got @CAPS down town. When i was heading down town to go meet some body it was cold,dark and just creepy. So on my way there i thought i went to far so i got the bus and was like were am i? I was counfused and like what the heck. Then i ask some one were am i at, the man said your down town i said i know just never mind i walked away kind mad like ugh. So i just called thenm and see were she was at the phone rings then she pick up. Were are you i said, she said down tonw i was like oh my gosh i know but never mind she was like were you at then i said some were in down town. Then she said stupid @CAPS on the bus and come down more so i waited for like @NUM then the bus comes and i was glad. Then i called her sayin im on the bus on the way she said okay @CAPS @CAPS @CAPS she said i was laughing and said okay i wont. When i @CAPS there they laughed at me and i was just like thats not funny i coulda got snacked or raped or it coulda been even more bad. Well thats what you @CAPS they said i was like yea yea i know whatever lol. Later that night was like i wont some candy so they showed me ow to @CAPS to the store is at so i was like ima go and the last words i heard i heard was @CAPS @CAPS @CAPS! i smiled. Well on my way to the store i was cold and listing to music then i @CAPS to the store and look around then my phone rings. Hello i said it was that girl she said i just wonted to make shure your not @CAPS i said i got this im not gonna @CAPS @CAPS. @NUM mins laster im walking out and was looking around like were am i?? i was like oh no not this again i just started to walk the way i came from and didnt see the hose so i went the othere way and i was like gosh im @CAPS again? yeah i am. so i didnt wont her to know i was @CAPS so i didnt call her and tried to find my own way back but i couldnt so i just tried to think then @NUM mins went by she callled. Sooo... darrio she said i answer whats hannin she said you @CAPS huh? i laughed no why you say that i asked she was like im looking at you and your going the wrong way i looked back and started to laugh. She came up to me and said you was @CAPS i said no i was just getting some air she was like yeah okay darrio you was with a smile i was thinking lke next time ima ask her to come with me i smiled. When we got to her house they laughed again and i just said okay i got @CAPS and we all laughed for like @NUM mins then just chill. Then i was like its hot in here then i open the wendow they said its cold so i was like okay i closed the window back and went out side for a min. My phone rings i pick up the girl said @CAPS @CAPS @CAPS i was like shut up im not im on the front porch she said soo... your slow you might @CAPS @CAPS still i laughed and hung up and went in said and we all laughed. Then that hole night was about me getting losted and not know were i was going and yeah thats it.",11,15,0.0,26,0.0,0.0,0.0,26.0
12258,20722,8,"@CAPS I'm going to tell @CAPS a little story. I remember a time when @CAPS cousin @PERSON @CAPS I decided to make a snowman at @CAPS house in @LOCATION, @LOCATION. I say to him, I'm bored, @CAPS do @CAPS want to do?"" @PERSON replies,""@CAPS go make a snowman."" @CAPS I agree that that would be fun. @CAPS starts reaching for a jacket @CAPS gloves, but I stop him @CAPS say,"" @CAPS are @CAPS getting those for?"" ""@CAPS's not cold @CAPS."" ""@CAPS,"" replies @PERSON. ""@CAPS't say I didn't warn @CAPS.""   We start our snowman by building the base (The biggest piece for the bottom). @CAPS after about @NUM minutes the base is almost done, but we notice that we're getting cold. ""@CAPS we should go inside?"" @PERSON says. ""@CAPS, I @CAPS mom will even make us some hot chocolate."" @CAPS off we go back inside hoping for some delectably warm hot chocolate. I see @CAPS mom @CAPS ask, ""@CAPS we have some hot chocolate please?"" ""@CAPS @CAPS look cold, Of course I'll make @CAPS some."" @CAPS @PERSON @CAPS I sit downstairs waiting anxiously for our hot chocolate by the heater to get warm.   ""@CAPS's ready!"" @CAPS mom calls from upstairs. We fly down the hall @CAPS rush up the stairs. @CAPS to our amazement we find not only hot chocolate but a bag of chips as @CAPS. ""@CAPS mom!""I say. ""@CAPS @CAPS @CAPS!""says @PERSON. ""@CAPS're welcome boys""says @CAPS mom. @PERSON @CAPS I sit down at the table @CAPS start drinking our hot chocolate, while @CAPS mom puts some chips on paper towels for us. I start eating the chips by the handfuls whereas @PERSON grabs one, just one. I ask him,"" @CAPS did @CAPS only grab one @PERSON?"" @CAPS of the corner of his eye @CAPS looks at me @CAPS slowly brings the chip to his mouth @CAPS takes a bite. As @CAPS did that I fell @CAPS of @CAPS chair in a fit of hysterical laughter.    @CAPS mom hears the thump of me hitting the floor @CAPS runs upstairs to find me laughing. ""@CAPS's @CAPS funny?"" she asks. I say to @PERSON, ""@CAPS her."" @PERSON then complies @CAPS grabs another chip @CAPS while @CAPS looks at her from the corner of his eye, slowly brings @CAPS to his mouth @CAPS takes a bite. I start busting up laughing again, yet @CAPS mom doesn't see the humor. She simply asks,"" @CAPS is that @CAPS funny?"" @PERSON replies,"" I have no idea but @CAPS just about died from laughter. I start to stop laughing @CAPS I'm able to stand up again. I then tell @CAPS mom,"" @CAPS's the way @CAPS looks at @CAPS, @CAPS just makes @CAPS laugh.""   I then @CAPS to do the same thing, but with no effect to @PERSON. ""@CAPS isn't @CAPS working?"" I ask. ""@CAPS I'm awesome like that @CAPS @CAPS're @NUM says. ""@CAPS, @CAPS I'm gonna keep at @CAPS until I get @CAPS right."" @CAPS I @CAPS to mimic everything I saw him do, but to no avail. All I made happen was I spilled @CAPS hot chocolate all over myself, which made him laugh, albeit not the way I wanted to. ""@CAPS want me to @CAPS @CAPS?"" @PERSON says. ""@CAPS!!!! Please!"" I beg. ""@CAPS, @CAPS't say I didn't warn @CAPS."" @CAPS proceeds then to grab another chip @CAPS while looking at me from the corner of his eye, bites the chip. I start laughing uncontrollably then @CAPS without pause. After about @NUM minutes I stop laughing.   ""I'll get that right!"" I say. @PERSON says,""@CAPS @CAPS."" I grab a chip @CAPS look straight at him @CAPS bite down, nothing. I @CAPS again, this time while looking at him from the corner of @CAPS eye, nothing yet again. I @CAPS to myself, ""@CAPS I @CAPS't get @CAPS this time I'm giving up."" ""@CAPS, here goes."" I grab a chip @CAPS slowly bring @CAPS to @CAPS mouth while squinting at him from the corner of @CAPS eye. I bite the chip. I notice @CAPS's laughing. @CAPS's laughing!!! ""I told @CAPS I'd get @CAPS!"" "" @CAPS, @CAPS @CAPS did."" @CAPS this is one of the many times laughter brought @CAPS cousin @PERSON @CAPS I together.""",20,18,40.0,40,0.0,0.0,0.0,40.0
12259,20723,8," My best friend, @PERSON and I have been close ever since we were @NUM. We met through @CAPS @CAPS lessons at our local dance studio. We've stayed close throughout the years because we've always done similar activities. We're very different from each other though. I'm more out going, I like to speak my mind and I'm more carefree. @CAPS's the opposite. @CAPS's very conservative and @CAPS can take things too seriously. But either way, we manage to even each other out. Finals week had just gotten over, and @LOCATION and I had been planning a sleepover all week. We just needed time to relax and have some time to ourselves. When I had gotten home from school, I gave her a quick call. ""@CAPS?"" @CAPS answered. ""@CAPS, @CAPS time did @CAPS wanna hang out?"" I asked. ""I was thinking @NUM?"" ""@CAPS good!"" I quickly hung up the phone and gathered up my gear. I grabbed my toothbrush, pillow, pajamas, and my blanket. I put my shoes on and headed back out the door. My dad dropped me off with all of me gear. I had brought my pajamas, my pillow, and an extra blanket. I walked up her sidewalk to her door, knocked, and waited. Only seconds later did @CAPS answer it with a big smile across her face. @CAPS lead me down to her basement where @CAPS had all the junk food set out ready for us to attack. @CAPS had gone to the store earlier that day and had bought everything. @CAPS had set it all up on her old pool table that nobody used. There were chips, cookies, sodas, candy, chocolate, and pizza. I set my stuff down on the chair in the corner of the room and we feasted. Of course, we could eat all the food. We simply weren't big enough. After eating for almost an hour straight, we laid on her basement floor trying to gain composure. We started laughing at silly little things that came up on commercials on her big screen @CAPS. Eventually, we got to talking about how each of our finals went. ""I did soo good on all of mine! I'm gonna get ALL A's"" @PERSON bragged. @CAPS has gotten straight A's every year since middle school. ""I think I did pretty @CAPS too, not so sure about a @NUM though."" I said as I was laying upside down on the floor. ""@CAPS, we'll just see tomorrow!""  We finally decided to move ourselves over to the couch on the opposite side of the pool table, so we could face the @CAPS. It was already @NUM in the @TIME and we were still on a sugar high. We switched back and forth from watching some old scary movie, and the top @NUM music videos of the week. That had passed some time and before we knew it, it was @NUM in the @TIME. @PERSON and I were laying on opposite ends of each other. Occasionally, one of us would get some chips or candy from the table. We grew tired to the point where we couldn't keep our eyes open. No one even had enough energy to turn off the overhead light. We fell asleep fast. When I woke-up the next @TIME, @PERSON wasn't laying across from me anymore. @CAPS was sitting in the corner chair where I had set my stuff. I looked at the clock, and it was already @NUM:30 in the afternoon. I looked back and @LOCATION, @CAPS seemed somewhat upset. I shifted around under my blanket so I could face her. ""@CAPS..."" I grunted, while I was stretching. ""@TIME."" @CAPS said abruptly. @CAPS was holding a folded piece of paper in her hand. ""@CAPS's up?"" I asked, sitting up on the couch. @CAPS crumpled up the piece of paper and threw it at me. I picked it up from my lap and unfolded it. It was her report card. I scanned down the paper looking at all of her grades. @CAPS had received all A's... and one @CAPS. @CAPS had gotten a @CAPS in her @CAPS class. I looked up from the paper to see her hands covering her face. I walked over to her kinda amused by how upset @CAPS was.  ""@CAPS got a @CAPS... and @CAPS're crying?"" I asked. @CAPS looked up at me quickly. I looked at her with a stupid face, and @CAPS busted out laughing. @CAPS felt so stupid for crying over @NUM @CAPS. I stared laughing too. I knew my grades we be far worse. Heck, I'd be glad to get @CAPS's. @PERSON and I are the perfect best friends. We even each other out. I tell her to lighten up, and @CAPS tells me to focus more. @CAPS can't take little things like that too seriously, it's just not worth the stress. Sometimes @CAPS just gotta relax, and maintain your focus. @CAPS have to find your perfect balance of work, and play.",20,20,0.0,40,0.0,0.0,0.0,40.0
12260,20724,8,"  Laughter is a really good thing to have in any relationship you are in whether its a friend ship, a love relation ship, or work relation ship. Either way you need laughter so you don't get so up tight that you are no fun to be around. Every now and then some body around you in your life needs some laughter to cheer them up. people should laugh every day because it makes you feel happy even when you are in a really bad mood.When you are being suicidal all you really want is some one to talk to you and make you smile, laugh, and giggle. It really feels good when you laugh with a friend or a significant other. You like to see people smile and laugh. Your friends and family also like to see you laugh here and there once in awhile. So every now and then laugh for once and be happy even if it is for a few seconds in your life. Laughter is a major thing to have in your life. Its nice to laugh and giggle even when life gets you down and is crappy. Anyone and everyone needs to laugh so they don't become so grouchy and unbearable to be around. So please for ever ones sake around you and in your life please laugh. Come on, you know you want to laugh. Ha ha ha. I hope that at least made you smile a little bit. In any relationship you have or are in laughter is a major thing you need in a relationship. Always try to laugh here and there and you will do just fine in life no matter how screwed up life is at that moment when you laugh.",15,19,0.0,34,0.0,0.0,0.0,34.0
12261,20725,8," I believe that with all people laughter, and having a sense of humor, is something that generally everyone has in common, everyone loves to share with others. Among young teenage girls, laughter is a commodity that is infectious but always wonderful. It's the purest kind of joy we have, it's somethings that brings humans together. It's the beginning and end of friendship and unity. Laughter can ring out and lift the spirits of those that really need it. A simple laugh can make the worst day a little alright. We all know that feeling of dread, and sadness . The kindness, generosity, and good of laughter is one of the few things that are right nowadays. Even in poverty, depression, and oppression the simple joy of laughter can wash away a person's worries for a split second and fill us with utter warmth.  @PERSON and I have been the best of friends since we were ten-years-old, and laughter has always been our strongest element. @PERSON and I have a knack for making each other burst out in laughter when all we want to do is be angry or just cry. We've decided that apart, we're just a little funny, but with our powers combined we could make anyone laugh. We use that power on each other when we're having bad days, or we simply need some cheering up. I think if it wasn't for laughter we wouldn't even be friends anymore. It really is what brings us together as best friends. We'd be different people. Even if I drifted from her we'd always be cracking jokes, making each others guts hurt, and tearing up from laughing so hard.  My first impression of @PERSON was of her stomping down to our neighborhood park to yell at her sister, whom I had been playing with at the time. It would be a very self-explanatory reason of why I didn't like her at first. Luckily, after going to @PERSON's house with her sister, @PERSON and I found that we had many things in common, and we were only four months apart. That childish kind of cajoling held our friendship together, for it was a bit rocky at the beginning. Always fighting, and arguing about things that now, we look back on and laugh at our adolescent stupidity. Either one of us would be popping off with dumb little comments at each other when neither of us wanted to apologize. One time she proceeded to tell me that I couldn't hear her because I had a big bug in my ear. Now we can remind each other of things like that and have a good ole time laughing about it. We were mere @NUM-year-old's then. Now, almost @NUM, we rarely fight, but we always laugh and make the best of what we've got with our poking fun. Laughter was definitely the band-aid in the beginning of our rickety friendship. @PERSON has a gift to make anything funny at any time. She says the wrong (but hilarious) things, but always at the right time. Laughter is now a necessity between us, it's what keeps our friendship so strong. I think of what the human race would be like if laughter was not a factor in everyday life. Everyone knows that it wasn't a good day if you haven't laughed or let alone smiled. People would be dull, and just unhappy. Laughter heals people from sickness, it gives us the feeling that maybe everything is going to be okay after all. I truly believe that it's healthy for you. With a flip of a switch, laughing can bring within us an ecstatic, and serendipitous feeling. People take it for granted and use it for wrong when it's meant to spread the word of happiness. We're lucky to have a gift of such natural joy. Can anyone even explain, in detail, the feeling laughter truly brings us? I think not. It's like describing the scent of something. You just can't do it. The words aren't there. I think of those poor and miserable people that have forgotten what it feels like to laugh, and it's very sad. I strive to laugh every single day, and make at least one other person laugh. What is a life without a diamond in the rough like laughter? It's no life at all, for laughter will always be your shelter on the pursuit of happiness.",21,20,0.0,41,0.0,0.0,0.0,41.0
12262,20726,8," Laughter, one of life's greatest gifts. Have you ever laughed so hard that you cried? What about laughed so hard you can't breath, or noise no longer escapes from your lips? I am the type of person that can @CAPS at something so stupid that when I get done laughing, I don't even know why I started laughing in the first place. I can @CAPS so hard that nothing comes out at all! @CAPS's amazing what laughter can do to a persons heart. The way @CAPS makes you feel, the way @CAPS makes you act. @CAPS's so contagious, and @CAPS happens all around us everyday. You are never too old for laughter, @CAPS happens to the best of us. young or old, @CAPS doesn't matter. Laughter has no age limit. One time @CAPS @CAPS @CAPS and I stayed up until three in the @TIME. We were so delirious, and kooky, we acted like crazy people. Now we have the type of relationship where we can @CAPS at almost anything. Literally almost anything... As we were staying up, we drank lots of soda and had sugary foods to fuel us for the night. We made up songs, we danced around @CAPS house, and @CAPS felt like we laughed for hours! I laughed until tears were flowing out of @CAPS eyes, and i couldn't get a breath out of @CAPS heaving lungs. When @CAPS gets to the silent laughing, @CAPS's even more funny because that person can't control @CAPS, and they look so hilarious because there rocking back and forth, with this silly expression upon their face, not making any noise at all. Have you ever just laughed for what feels like a lifetime? How did you feel after that ""lifetime"" of laughter? @CAPS almost feels as something as powerful as the sun just warms over your heart and soul. When I @CAPS I feel all the happiness and emotion just flow all throughout @CAPS entire body. @CAPS's one of the greatest feelings in the world, I really can't think of a greater feeling than the warmth that laughter brings. @CAPS's so great when you and a @CAPS, or group of friends can sit back and enjoy the laughter you share. Even when your feeling down, maybe need some cheering up. You can always depend on a @CAPS to pull you through. No matter what mood I'm in, @CAPS I hear someone laughing, @CAPS is so hard to not join in. Laughing is so contagious! @CAPS effects us in our everyday life's. I bet you that, you cannot go one day without hearing someone @CAPS, or you not laughing yourself. I probably @CAPS about five hundred times a day, @CAPS not more. I love hearing people @CAPS, @CAPS brightens @CAPS mood and also @CAPS day. I would most definitely say laughter is very important and beneficial for a relationship. I mean imagine the world without laughter. Boring, right? @CAPS advice, @CAPS like you heard the funniest thing in the world. @CAPS like there is no tomorrow. Who cares @CAPS people thinks its dumb. You'll feel much better after you have that tear-induced, hard to breath, silent but oh-so therapeutic @CAPS. Laughter really is the shortest distance between people!",20,20,0.0,40,0.0,0.0,0.0,40.0
